uid,anime_uid,score
252657,28999,9
307986,28999,10
309361,28999,8
310528,28999,1
310789,28999,8
311473,28999,4
255560,28999,8
313099,28999,6
313429,28999,6
313621,28999,4
199698,28999,6
224101,28999,8
223655,28999,10
200938,28999,9
214278,28999,10
210991,28999,8
212583,28999,9
221301,28999,9
203735,28999,7
231906,28999,8
206025,28999,7
206508,28999,6
207778,28999,7
208099,28999,6
221621,28999,8
227440,28999,8
199999,28999,9
232441,28999,10
236407,28999,8
199777,28999,8
256766,28999,6
316826,28999,7
257613,28999,7
239265,28999,8
320107,28999,6
321312,28999,7
322311,28999,4
240206,28999,6
240260,28999,5
324355,28999,8
325416,28999,5
265576,28999,9
266412,28999,10
266752,28999,10
207738,28999,4
207766,28999,10
207071,28999,8
226810,28999,9
226930,28999,8
226469,28999,9
230454,28999,10
227914,28999,8
206097,28999,8
233658,28999,8
226231,28999,9
212805,28999,8
218904,28999,7
217061,28999,8
205310,28999,6
208779,28999,5
209017,28999,8
211230,28999,9
199853,28999,5
199751,28999,6
202823,28999,5
202585,28999,6
201131,28999,6
199753,28999,8
199931,28999,9
201190,28999,10
199814,28999,10
199752,28999,10
200051,28999,7
202409,28999,7
252286,28999,4
252364,28999,10
252533,28999,9
284228,28999,1
285388,28999,9
241668,28999,7
256588,28999,6
256991,28999,4
288108,28999,7
289455,28999,7
289874,28999,8
217264,28999,7
216172,28999,8
200089,28999,6
200305,28999,6
199960,28999,7
200593,28999,9
225016,28999,8
225118,28999,8
201227,28999,10
201014,28999,6
201737,28999,6
199821,28999,8
199792,28999,7
203652,28999,6
199785,28999,8
208796,28999,8
199781,28999,9
211435,28999,9
201923,28999,9
263539,28999,6
296324,28999,5
247167,28999,9
296742,28999,10
248225,28999,1
300692,28999,7
266179,28999,8
249770,28999,5
268914,28999,10
251828,28999,10
307100,28999,7
271488,28999,8
254937,28999,10
275727,28999,10
200086,28999,9
200100,28999,10
200159,28999,4
200142,28999,4
199819,28999,7
199823,28999,8
199761,28999,8
199817,28999,7
199812,28999,7
199887,28999,9
199810,28999,5
200185,28999,9
199949,28999,9
199964,28999,6
204074,28999,6
203936,28999,10
208431,28999,9
210941,28999,4
200241,28999,4
208801,28999,9
200365,28999,8
314260,28999,9
245002,28999,9
279400,28999,7
281445,28999,9
319997,28999,10
228062,28999,3
199723,28999,6
204319,28999,8
220863,28999,9
217196,28999,6
196595,28999,9
210690,28999,4
209450,28999,9
200361,28999,9
199963,28999,5
206978,28999,9
202544,28999,6
199934,28999,9
201402,28999,7
200382,28999,4
199730,28999,5
241097,28999,6
248457,20057,9
252894,20057,10
253302,20057,10
256051,20057,8
265996,20057,7
277385,20057,8
219324,20057,9
219677,20057,8
220657,20057,7
212512,20057,9
215226,20057,8
223100,20057,10
214943,20057,9
230534,20057,9
202695,20057,9
275221,35860,8
275278,35860,7
276272,35860,10
276291,35860,10
276950,35860,10
277876,35860,6
277901,35860,8
278587,35860,8
281105,35860,5
282255,35860,7
202930,28999,7
203204,28999,7
207063,28999,4
200137,28999,8
281499,35860,10
278058,28999,10
206748,28999,8
200058,28999,4
207059,28999,4
203883,28999,8
216776,28999,8
201678,28999,10
199905,28999,6
199940,28999,6
201181,28999,7
280925,28999,8
306759,28999,7
236732,20057,10
239922,20057,8
323502,20057,10
262891,20057,7
274272,20057,9
275472,20057,5
153357,20057,9
227465,20057,8
159137,20057,9
286784,20057,9
295295,20057,10
204168,20057,5
225382,20057,6
